"Date/Time","Date/Time","No.1","No.2","No.3"
"Date/Time","Date/Time","A","B","air"
"","","°C","°C","°C"
"2025-10-03 14:18:37","45933.5962615741","53.9","53.5","35.2"
"2025-10-03 14:18:42","45933.5963194444","53.8","53.5","35.3"
"2025-10-03 14:18:47","45933.5963773148","53.8","53.5","35.4"
"2025-10-03 14:18:52","45933.5964351852","53.8","53.5","35.3"
"2025-10-03 14:18:57","45933.5964930556","53.8","53.5","35.3"
"2025-10-03 14:19:02","45933.5965509259","53.7","53.4","35.3"
"2025-10-03 14:19:07","45933.5966087963","53.6","53.3","35.3"
"2025-10-03 14:19:12","45933.5966666667","53.6","53.3","35.3"
"2025-10-03 14:19:17","45933.5967245370","53.7","53.4","35.3"
"2025-10-03 14:19:22","45933.5967824074","53.9","53.5","35.5"
"2025-10-03 14:19:27","45933.5968402778","54.0","53.7","35.6"
"2025-10-03 14:19:32","45933.5968981481","54.1","53.8","35.4"
"2025-10-03 14:19:37","45933.5969560185","53.9","53.7","35.4"
"2025-10-03 14:19:42","45933.5970138889","53.9","53.6","35.4"
"2025-10-03 14:19:47","45933.5970717593","53.8","53.5","35.3"
"2025-10-03 14:19:52","45933.5971296296","53.7","53.4","35.3"
"2025-10-03 14:19:57","45933.5971875000","53.5","53.3","35.2"
"2025-10-03 14:20:02","45933.5972453704","53.4","53.3","35.3"
"2025-10-03 14:20:07","45933.5973032407","53.4","53.3","35.2"
"2025-10-03 14:20:12","45933.5973611111","53.4","53.3","35.2"
"2025-10-03 14:20:17","45933.5974189815","53.4","53.3","35.2"
"2025-10-03 14:20:22","45933.5974768518","53.4","53.3","35.1"
"2025-10-03 14:20:27","45933.5975347222","53.4","53.3","35.1"
"2025-10-03 14:20:32","45933.5975925926","53.3","53.2","35.2"
"2025-10-03 14:20:37","45933.5976504630","53.3","53.2","35.2"
"2025-10-03 14:20:42","45933.5977083333","53.4","53.3","35.2"
"2025-10-03 14:20:47","45933.5977662037","53.4","53.3","35.3"
"2025-10-03 14:20:52","45933.5978240741","53.4","53.3","35.2"
"2025-10-03 14:20:57","45933.5978819444","53.4","53.3","35.1"
"2025-10-03 14:21:02","45933.5979398148","53.4","53.2","35.1"
"2025-10-03 14:21:07","45933.5979976852","53.3","53.2","35.1"
"2025-10-03 14:21:12","45933.5980555556","53.3","53.1","35.0"
"2025-10-03 14:21:17","45933.5981134259","53.1","53.0","35.0"
"2025-10-03 14:21:22","45933.5981712963","52.8","52.7","34.9"
"2025-10-03 14:21:27","45933.5982291667","52.6","52.5","34.8"
"2025-10-03 14:21:32","45933.5982870370","52.4","52.3","34.8"
"2025-10-03 14:21:37","45933.5983449074","52.3","52.2","34.8"
"2025-10-03 14:21:42","45933.5984027778","52.1","52.0","34.7"
"2025-10-03 14:21:47","45933.5984606482","52.1","52.0","34.8"
"2025-10-03 14:21:52","45933.5985185185","52.1","52.0","34.9"
"2025-10-03 14:21:57","45933.5985763889","52.3","52.1","34.9"
"2025-10-03 14:22:02","45933.5986342593","52.2","52.1","34.8"
"2025-10-03 14:22:07","45933.5986921296","52.1","52.1","34.8"
"2025-10-03 14:22:12","45933.5987500000","52.1","52.1","34.9"
"2025-10-03 14:22:17","45933.5988078704","52.2","52.1","35.1"
"2025-10-03 14:22:22","45933.5988657407","52.4","52.2","35.2"
"2025-10-03 14:22:27","45933.5989236111","52.5","52.3","35.1"
"2025-10-03 14:22:32","45933.5989814815","52.5","52.3","35.0"
"2025-10-03 14:22:37","45933.5990393519","52.4","52.2","35.0"
"2025-10-03 14:22:42","45933.5990972222","52.4","52.2","35.1"
"2025-10-03 14:22:47","45933.5991550926","52.4","52.2","35.1"
"2025-10-03 14:22:52","45933.5992129630","52.6","52.3","35.1"
"2025-10-03 14:22:57","45933.5992708333","52.8","52.5","35.2"
"2025-10-03 14:23:02","45933.5993287037","52.8","52.6","35.2"
"2025-10-03 14:23:07","45933.5993865741","52.8","52.5","35.1"
"2025-10-03 14:23:12","45933.5994444444","52.8","52.5","35.1"
"2025-10-03 14:23:17","45933.5995023148","52.9","52.6","35.1"
"2025-10-03 14:23:22","45933.5995601852","52.8","52.6","35.2"
"2025-10-03 14:23:27","45933.5996180556","52.8","52.7","35.4"
"2025-10-03 14:23:32","45933.5996759259","52.8","52.6","35.5"
"2025-10-03 14:23:37","45933.5997337963","52.7","52.6","35.4"
"2025-10-03 14:23:42","45933.5997916667","52.6","52.4","35.1"
"2025-10-03 14:23:47","45933.5998495370","52.5","52.4","34.9"
"2025-10-03 14:23:52","45933.5999074074","52.4","52.3","34.9"
"2025-10-03 14:23:57","45933.5999652778","52.4","52.3","34.9"
"2025-10-03 14:24:02","45933.6000231481","52.4","52.3","35.0"
"2025-10-03 14:24:07","45933.6000810185","52.3","52.4","35.1"
"2025-10-03 14:24:12","45933.6001388889","52.3","52.4","35.0"
"2025-10-03 14:24:17","45933.6001967593","52.3","52.3","35.0"
"2025-10-03 14:24:22","45933.6002546296","52.1","52.1","34.9"
"2025-10-03 14:24:27","45933.6003125000","52.0","52.0","34.8"
"2025-10-03 14:24:32","45933.6003703704","52.0","51.9","34.8"
"2025-10-03 14:24:37","45933.6004282407","52.0","51.9","34.9"
"2025-10-03 14:24:42","45933.6004861111","52.2","52.1","34.9"
"2025-10-03 14:24:47","45933.6005439815","52.3","52.2","34.9"
"2025-10-03 14:24:52","45933.6006018519","52.4","52.3","34.9"
"2025-10-03 14:24:57","45933.6006597222","52.6","52.4","35.0"
"2025-10-03 14:25:02","45933.6007175926","52.7","52.4","34.9"
"2025-10-03 14:25:07","45933.6007754630","52.7","52.3","34.8"
