start,end,condition
2025-07-13 08:51:00,2025-07-13 09:01:00,cloudy
2025-07-13 16:05:00,2025-07-13 16:20:00,cloudy
2025-07-04 16:45:00,2025-07-04 17:15:00,cloudy
2025-07-05 06:15:00,2025-07-05 12:21:00,cloudy
2025-07-05 12:47:00,2025-07-05 13:04:00,cloudy
2025-07-06 13:07:00,2025-07-06 14:31:00,cloudy
2025-07-15 13:15:00,2025-07-15 18:51:00,direct sun
2025-07-15 18:51:00,2025-07-15 20:50:00,indirect sun
2025-07-15 20:50:00,2025-07-16 06:17:00,night
2025-07-16 06:17:00,2025-07-16 08:24:00,indirect sun
2025-07-16 08:24:00,2025-07-16 13:15:00,direct sun
2025-07-16 13:15:00,2025-07-16 18:49:00,direct sun
2025-07-16 18:49:00,2025-07-16 21:05:00,indirect sun
2025-07-16 21:05:00,2025-07-17 06:10:00,night
2025-07-17 06:10:00,2025-07-17 08:26:00,indirect sun
2025-07-17 08:26:00,2025-07-17 13:15:00,direct sun
2025-07-17 06:34:00,2025-07-17 08:09:00,cloudy



